Name,Location,Description,record,expression,labels,alert,enabled,severity,for,actions,resolveConfiguration,annotations,translation
NodeRecordingRulesRuleGroup-eastus-stage-arc,eastus,Node Recording Rules RuleGroup - 0.1,instance:node_num_cpu:sum,"count without (cpu, mode) (  node_cpu_seconds_total{job=""node"",mode=""idle""})",,,,,,,,,"Count the total number of nodes that are reporting CPU idle time, ignoring the differences in CPU core and mode."
NodeRecordingRulesRuleGroup-eastus-stage-arc,eastus,Node Recording Rules RuleGroup - 0.1,instance:node_cpu_utilisation:rate5m,"1 - avg without (cpu) (  sum without (mode) (rate(node_cpu_seconds_total{job=""node"", mode=~""idle|iowait|steal""}[5m])))",,,,,,,,,"The average CPU utilization across all CPUs for each instance over the last 5 minutes, calculated as the percentage of time spent not in idle, iowait, or steal modes."
NodeRecordingRulesRuleGroup-eastus-stage-arc,eastus,Node Recording Rules RuleGroup - 0.1,instance:node_load1_per_cpu:ratio,"(  node_load1{job=""node""}/  instance:node_num_cpu:sum{job=""node""})",,,,,,,,,"""The average load on a single CPU for each instance, calculated by dividing the 1-minute load average by the total number of CPUs."""
NodeRecordingRulesRuleGroup-eastus-stage-arc,eastus,Node Recording Rules RuleGroup - 0.1,instance:node_memory_utilisation:ratio,"1 - (  (    node_memory_MemAvailable_bytes{job=""node""}    or    (      node_memory_Buffers_bytes{job=""node""}      +      node_memory_Cached_bytes{job=""node""}      +      node_memory_MemFree_bytes{job=""node""}      +      node_memory_Slab_bytes{job=""node""}    )  )/  node_memory_MemTotal_bytes{job=""node""})",,,,,,,,,"This rule calculates the ratio of used memory to total memory for a node, taking into account available memory and memory used by buffers, cache, free memory, and slab. It subtracts the sum of available memory (or the sum of buffers, cached, free, and slab memory if available memory is not reported) from the total memory, then divides by the total memory to get the utilization ratio. The result is 1 minus this ratio, which represents the proportion of memory that is actually used by the node."
NodeRecordingRulesRuleGroup-eastus-stage-arc,eastus,Node Recording Rules RuleGroup - 0.1,instance:node_vmstat_pgmajfault:rate5m,"rate(node_vmstat_pgmajfault{job=""node""}[5m])",,,,,,,,,"""The rate of major page faults per second for a node, averaged over the last 5 minutes."""
NodeRecordingRulesRuleGroup-eastus-stage-arc,eastus,Node Recording Rules RuleGroup - 0.1,instance_device:node_disk_io_time_seconds:rate5m,"rate(node_disk_io_time_seconds_total{job=""node"", device!=""""}[5m])",,,,,,,,,"""The average rate of disk I/O time per second for each node over the last 5 minutes, excluding devices with no name."""
NodeRecordingRulesRuleGroup-eastus-stage-arc,eastus,Node Recording Rules RuleGroup - 0.1,instance_device:node_disk_io_time_weighted_seconds:rate5m,"rate(node_disk_io_time_weighted_seconds_total{job=""node"", device!=""""}[5m])",,,,,,,,,"""The average rate of disk I/O time per second for each node over the last 5 minutes, excluding devices with no name."""
NodeRecordingRulesRuleGroup-eastus-stage-arc,eastus,Node Recording Rules RuleGroup - 0.1,instance:node_network_receive_bytes_excluding_lo:rate5m,"sum without (device) (  rate(node_network_receive_bytes_total{job=""node"", device!=""lo""}[5m]))",,,,,,,,,"""The total amount of data received by each node on all non-loopback network devices, averaged over a 5-minute period."""
NodeRecordingRulesRuleGroup-eastus-stage-arc,eastus,Node Recording Rules RuleGroup - 0.1,instance:node_network_transmit_bytes_excluding_lo:rate5m,"sum without (device) (  rate(node_network_transmit_bytes_total{job=""node"", device!=""lo""}[5m]))",,,,,,,,,"The average rate of bytes transmitted by each network device (excluding the loopback interface) over the last 5 minutes, summed across all devices on a node."
NodeRecordingRulesRuleGroup-eastus-stage-arc,eastus,Node Recording Rules RuleGroup - 0.1,instance:node_network_receive_drop_excluding_lo:rate5m,"sum without (device) (  rate(node_network_receive_drop_total{job=""node"", device!=""lo""}[5m]))",,,,,,,,,"""The average rate of packets dropped while receiving network traffic, excluding the loopback interface, over the last 5 minutes, summed across all devices on a node."""
NodeRecordingRulesRuleGroup-eastus-stage-arc,eastus,Node Recording Rules RuleGroup - 0.1,instance:node_network_transmit_drop_excluding_lo:rate5m,"sum without (device) (  rate(node_network_transmit_drop_total{job=""node"", device!=""lo""}[5m]))",,,,,,,,,"""The average rate of packets dropped while transmitting data from all network devices (excluding the loopback interface) over the last 5 minutes, summed across all instances."""
KubernetesRecordingRulesRuleGroup-eastus-stage-arc,eastus,,node_namespace_pod_container:container_cpu_usage_seconds_total:sum_irate,"sum by (cluster, namespace, pod, container) (  irate(container_cpu_usage_seconds_total{job=""cadvisor"", image!=""""}[5m])) * on (cluster, namespace, pod) group_left(node) topk by (cluster, namespace, pod) (  1, max by(cluster, namespace, pod, node) (kube_pod_info{node!=""""}))",,,,,,,,,"Show the top container CPU usage for each cluster, namespace, and pod, calculated over the last 5 minutes, grouped by cluster, namespace, pod, and container, and filtered to only include pods with a known node, considering only the top result per pod."
KubernetesRecordingRulesRuleGroup-eastus-stage-arc,eastus,,node_namespace_pod_container:container_memory_working_set_bytes,"container_memory_working_set_bytes{job=""cadvisor"", image!=""""}* on (namespace, pod) group_left(node) topk by(namespace, pod) (1,  max by(namespace, pod, node) (kube_pod_info{node!=""""}))",,,,,,,,,"""Show the top container memory usage for each namespace and pod, considering only containers with a specified image, and return the maximum value for each combination of namespace, pod, and node, limited to the top result."""
KubernetesRecordingRulesRuleGroup-eastus-stage-arc,eastus,,node_namespace_pod_container:container_memory_rss,"container_memory_rss{job=""cadvisor"", image!=""""}* on (namespace, pod) group_left(node) topk by(namespace, pod) (1,  max by(namespace, pod, node) (kube_pod_info{node!=""""}))",,,,,,,,,"""Show the top container with the highest memory usage (RSS) for each namespace and pod, considering only containers from the 'cadvisor' job with a non-empty image name, and group the results by namespace and pod, limited to 1 result per group."""
KubernetesRecordingRulesRuleGroup-eastus-stage-arc,eastus,,node_namespace_pod_container:container_memory_cache,"container_memory_cache{job=""cadvisor"", image!=""""}* on (namespace, pod) group_left(node) topk by(namespace, pod) (1,  max by(namespace, pod, node) (kube_pod_info{node!=""""}))",,,,,,,,,"""Show the top container using the most memory cache for each namespace and pod, considering only containers with a non-empty image name, and filter the results to only include pods that are running on a node with available information."""
KubernetesRecordingRulesRuleGroup-eastus-stage-arc,eastus,,node_namespace_pod_container:container_memory_swap,"container_memory_swap{job=""cadvisor"", image!=""""}* on (namespace, pod) group_left(node) topk by(namespace, pod) (1,  max by(namespace, pod, node) (kube_pod_info{node!=""""}))",,,,,,,,,"""Show the top container using swap memory for each namespace and pod, considering only containers with a non-empty image name, and filter the results to only include pods that are running on a node with available information."""
KubernetesRecordingRulesRuleGroup-eastus-stage-arc,eastus,,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests,"kube_pod_container_resource_requests{resource=""memory"",job=""kube-state-metrics""}  * on (namespace, pod, cluster)group_left() max by (namespace, pod, cluster) (  (kube_pod_status_phase{phase=~""Pending|Running""} == 1))",,,,,,,,,"Show the maximum memory requested by containers in pods that are either pending or running, grouped by namespace, pod, and cluster."
KubernetesRecordingRulesRuleGroup-eastus-stage-arc,eastus,,namespace_memory:kube_pod_container_resource_requests:sum,"sum by (namespace, cluster) (    sum by (namespace, pod, cluster) (        max by (namespace, pod, container, cluster) (          kube_pod_container_resource_requests{resource=""memory"",job=""kube-state-metrics""}        ) * on(namespace, pod, cluster) group_left() max by (namespace, pod, cluster) (          kube_pod_status_phase{phase=~""Pending|Running""} == 1        )    ))",,,,,,,,,"Calculate the total requested memory for all containers in each namespace and cluster, but only consider containers that are part of pods which are either pending or running. The result is the sum of the maximum requested memory for each pod in each namespace and cluster."
KubernetesRecordingRulesRuleGroup-eastus-stage-arc,eastus,,cluster:namespace:pod_cpu:active:kube_pod_container_resource_requests,"kube_pod_container_resource_requests{resource=""cpu"",job=""kube-state-metrics""}  * on (namespace, pod, cluster)group_left() max by (namespace, pod, cluster) (  (kube_pod_status_phase{phase=~""Pending|Running""} == 1))",,,,,,,,,"""Show the maximum CPU requests for running or pending pods in each namespace and cluster, based on the resource requests of their containers."""
KubernetesRecordingRulesRuleGroup-eastus-stage-arc,eastus,,namespace_cpu:kube_pod_container_resource_requests:sum,"sum by (namespace, cluster) (    sum by (namespace, pod, cluster) (        max by (namespace, pod, container, cluster) (          kube_pod_container_resource_requests{resource=""cpu"",job=""kube-state-metrics""}        ) * on(namespace, pod, cluster) group_left() max by (namespace, pod, cluster) (          kube_pod_status_phase{phase=~""Pending|Running""} == 1        )    ))",,,,,,,,,"Calculate the total requested CPU resources for all containers in each namespace and cluster, but only consider containers that are either pending or running. The result is the sum of the maximum requested CPU resources for each pod in each namespace and cluster."
KubernetesRecordingRulesRuleGroup-eastus-stage-arc,eastus,,cluster:namespace:pod_memory:active:kube_pod_container_resource_limits,"kube_pod_container_resource_limits{resource=""memory"",job=""kube-state-metrics""}  * on (namespace, pod, cluster)group_left() max by (namespace, pod, cluster) (  (kube_pod_status_phase{phase=~""Pending|Running""} == 1))",,,,,,,,,"Show the maximum memory limits for containers in pods that are either pending or running, grouped by namespace, pod, and cluster."
KubernetesRecordingRulesRuleGroup-eastus-stage-arc,eastus,,namespace_memory:kube_pod_container_resource_limits:sum,"sum by (namespace, cluster) (    sum by (namespace, pod, cluster) (        max by (namespace, pod, container, cluster) (          kube_pod_container_resource_limits{resource=""memory"",job=""kube-state-metrics""}        ) * on(namespace, pod, cluster) group_left() max by (namespace, pod, cluster) (          kube_pod_status_phase{phase=~""Pending|Running""} == 1        )    ))",,,,,,,,,"The total memory limits of all running or pending containers in each namespace across clusters, calculated by summing up the maximum memory limits of containers within each pod and then aggregating those totals by namespace and cluster."
KubernetesRecordingRulesRuleGroup-eastus-stage-arc,eastus,,cluster:namespace:pod_cpu:active:kube_pod_container_resource_limits,"kube_pod_container_resource_limits{resource=""cpu"",job=""kube-state-metrics""}  * on (namespace, pod, cluster)group_left() max by (namespace, pod, cluster) ( (kube_pod_status_phase{phase=~""Pending|Running""} == 1) )",,,,,,,,,"Show the maximum CPU limit for containers in pods that are either pending or running, grouped by namespace, pod, and cluster."
KubernetesRecordingRulesRuleGroup-eastus-stage-arc,eastus,,namespace_cpu:kube_pod_container_resource_limits:sum,"sum by (namespace, cluster) (    sum by (namespace, pod, cluster) (        max by (namespace, pod, container, cluster) (          kube_pod_container_resource_limits{resource=""cpu"",job=""kube-state-metrics""}        ) * on(namespace, pod, cluster) group_left() max by (namespace, pod, cluster) (          kube_pod_status_phase{phase=~""Pending|Running""} == 1        )    ))",,,,,,,,,"The total CPU limits of all running or pending containers in each namespace across clusters, calculated by summing up the maximum CPU limits of each container within a pod and then aggregating those values by namespace and cluster."
